Fellow	Year	Citation
Robert Newcomb	1972	For contributions to network synthesis, time-varying systems, and engineering education 
Edward Newman	1989	For contributions to modeling the electromagnetic radiation and scattering from complex structures. 
Nathan Newman	2014	For contributions to the development and production of novel thin film materials and devices 
Steven Newton	2004	For contributions to optical reflectometry and spectrum analysis. 
M Ney	2011	For contributions to modeling in electromagnetics 
Hermann Ney	2011	For contributions to statistical language modeling, statistical machine translation, and large vocabulary speech recognition 
Kwok Ng	2010	For contributions to the optimization of intrinsic parasitics in metal-oxide semiconductor field-effect transistor design 
Tony Ng	2003	For contributions to signal processing techniques in spread spectrum communications. 
Tze Sing Eugene Ng	2023	For contributions to circuit-switched innovations in datacenter network and scalable methods for Internet delay estimation 
Wing Kwan Ng	2021	For contributions to resource allocation for wireless communication networks 
King Ngan	2000	For contributions to the theory and applications of visual signal processing and communications. 
Khai D Ngo	2015	For contributions to unified synthesis and modeling of switched-mode converters 
Clark Tu-Cuong Nguyen	2007	For contributions to the physics and technology of microelectromechanical systems 
Truong Nguyen	2005	For contributions to the theory and applications of filterbanks and wavelets. 
Luu Nguyen	2001	For development of wafer scale packaging, and plastic packaging. 
Bich-Yen Nguyen	2020	For contributions to silicon on insulator technology 
Lionel Ni	1994	For contributions to parallel processing and distributed systems. 
Wei Ni	2024	For contributions to resource allocation and cooperation in unmanned aerial vehicle networks 
David Nicol	2003	For contributions to parallel discrete-event simulation in high performance computing. 
Alexandru Nicolau	2015	For contributions to compiler technology and electronic design automation 
Silviu-Iulian Niculescu	2018	For research on the effects of delays in system dynamics 
E Niehenke	1989	For contributions to the development of low-noise microwave oscillators and amplifiers 
Paul Nielsen	2006	For leadership in aerospace electronic and space systems. 
Stephen Nightingale	2002	For contributions to planar microwave and millimeter wave circuits. 
Hendrik Nijmeijer	2000	For contributions to the theory and application of nonlinear control system design. 
C Nikias	1991	For contributions to higher-order spectral analysis methods and their application to digital signal processing. 
Konstantina Nikita	2018	For contributions to bioelectromagnetics and implantable antennas for medical applications 
Borivoje Nikolic	2017	For contributions to energy-efficient design of digital and mixed-signal circuits 
Paul Nikolich	2005	For leadership in enabling ubiquitious broadband internet access and associated standards. 
Dimitrios Nikolopoulos	2024	For contributions to dynamic execution environments and multiprocessor memory management 
Shouleh Nikzad	2020	For contributions to ultraviolet detectors for space applications 
Nils Nilsson	1996	For contributions to improved reliability and operation of utility power plants. 
Stig Nilsson	1988	For contributions to the development of digital relaying and the control of ac and dc power systems. 
Tak Ning	1987	For contributions to understanding hot-electron effects on MOSFET devices, and advances in bipolar technology. 
Cun-Zheng Ning	2013	For contributions to nanophotonics and nanowire lasers 
Brett Ninness	2017	For contributions to computational methods in system identification 
Tamotsu Ninomiya	2001	For contributions to the development of high-frequency switching power converters. 
Tetsuo Nishi	1996	For contributions to linear and nonlinear circuit theory. 
Yoshio Nishi	1988	For contributions to semiconductor process technology, nonvolatile memory devices, silicon-on-sapphire devices, and VLSI device physics/technology, and for leadership in VLSI memory research and development. 
Kenji Nishi	2001	For contributions to semiconductor process and device modeling and the development of software for their simulation. 
Shogo Nishida	1998	For contributions to emergency control schemes for stabilization of power systems and to power engineering education. 
Akinori Nishihara	2003	For contributions to the theory and design of digital signal processing. 
Tadashi Nishimura	2003	For leadership in the development of advanced CMOS devices and process technologies. 
Shojiro Nishio	2012	For contributions to data and knowledge management in database systems 
Taiji Nishizawa	2002	For contributions to broadcast engineering. 
