Fellow,Year,Country,University,Citation
Bich-Yen Nguyen,2020,United States,University of Texas at Austin,For contributions to silicon on insulator technology 
Wei Ni,2024,Australia,University of Sydney,For contributions to resource allocation and cooperation in unmanned aerial vehicle networks 
Alexandru Nicolau,2015,United States,"University of California, Irvine",For contributions to compiler technology and electronic design automation 
Silviu-Iulian Niculescu,2018,France,CentraleSupélec,For research on the effects of delays in system dynamics 
Konstantina Nikita,2018,Greece,National Technical University of Athens,For contributions to bioelectromagnetics and implantable antennas for medical applications 
Borivoje Nikolic,2017,United States,"University of California, Berkeley",For contributions to energy-efficient design of digital and mixed-signal circuits 
Dimitrios Nikolopoulos,2024,United Kingdom,Virginia Tech,For contributions to dynamic execution environments and multiprocessor memory management 
Shouleh Nikzad,2020,United States,California Institute of Technology,For contributions to ultraviolet detectors for space applications 
Brett Ninness,2017,Australia,University of Newcastle,For contributions to computational methods in system identification 
Dusit Niyato,2017,Singapore,Nanyang Technological University,For contributions to resource allocation in cognitive radio and cellular wireless networks 
Sam Noh,2022,South Korea,UNIST (Ulsan National Institute of Science and Technology),For contributions to storage system software for flash and nonvolatile memory 
Douglas Noll,2023,United States,University of Michigan,For contributions to functional magnetic resonance imaging of the brain 
Branislav Notaros,2016,United States,Colorado State University,For contributions to higher order methods in computational electromagnetics 
Vasilis Ntziachristos,2020,Germany,Technical University of Munich,For contributions to optoacoustic imaging and intraoperative fluorescence imaging 
Richard Nute,2016,United States,,For contributions to safety engineering of electrical and electronic products 
Johan Nuyts,2021,Belgium,KU Leuven,For contributions to theory and algorithms for image reconstruction in emission and transmission tomography 
Marcia O'Malley,2020,United States,Rice University,For contributions to rehabilitation robotics and haptic systems 
Peggy O'Neill,2016,United States,NASA Goddard Space Flight Center,For contributions to the remote sensing of soil moisture 
Barbara Oakley,2018,United States,Oakland University,For outreach through online engineering pedagogy 
Daniel Oates,2017,United States,,For contributions to high-temperature superconductors and applications to RF receiver technology 
Salah Obayya,2021,Egypt,Zewail City of Science and Technology,For contributions to computational photonics 
Roberto Oboe,2021,Italy,University of Padova,For contributions to remote motion control systems 
Hideki Ochiai,2023,Japan,Yokohama National University,For contributions to power and spectral efficient wireless communication 
Tetsuji Oda,2015,Japan,Osaka University,For contributions to electrostatics and high-pressure plasmas for environmental protection 
Claude Oestges,2016,Belgium,Université catholique de Louvain,For contributions to channel characterization and modeling for multiple-input multiple-output wireless communications 
Paul Oh,2024,United States,"University of Nevada, Las Vegas",For contributions to unmanned aerial vehicles and humanoid robotics 
Yoshihiro Ohba,2022,Japan,Tokyo Institute of Technology,For contributions to standardization of network security protocols 
Kiyoshi Ohishi,2015,Japan,Nagaoka University of Technology,For contributions to development of fast and robust motion control systems 
Hideo Ohno,2018,Japan,Tohoku University,For contributions to materials and device design for spintronics 
Jun Ohta,2021,Japan,Nara Institute of Science and Technology,For contributions to CMOS image sensors and devices for biomedical applications 
Kenichi Okada,2023,Japan,Tokyo Institute of Technology,For contributions to millimeter-wave communication circuits design 
Masaaki Okubo,2023,Japan,Osaka University,For contributions to non-thermal plasma applications for pollution control 
Haruhiko Okumura,2016,Japan,Nippon Institute of Technology,For contributions to image processing and display technologies 
Nuria Oliver,2017,Spain,Universitat Politècnica de València,For contributions in probabilistic multi-modal models of human behavior and development of intelligent and interactive systems 
Bryan Oliver,2017,United States,National Institute of Standards and Technology,For contributions to the theory and simulation of intense particle beams and plasmas 
Giacomo Oliveri,2024,Italy,University of Trento,For contributions to analytic design of antenna arrays and compressive sensing in electromagnetics 
Anibal Ollero Baturone,2019,Spain,University of Seville,For contributions to the development and deployment of aerial robots 
Yew-Soon Ong,2018,Singapore,Nanyang Technological University,For contributions to memetic computation and applications 
Hidetoshi Onodera,2018,Japan,Kyoto University,For contributions to variation-aware design and analysis of integrated circuits 
Boon Ooi,2023,Saudi Arabia,King Abdullah University of Science and Technology,For contributions to broadband light emitters and visible light communications 
Omer Oralkan,2023,United States,North Carolina State University,"For contributions to micromachined ultrasonic transducers and integrated microsystems development, for imaging, therapy, and sensing "
Giuseppe Oriolo,2017,Italy,Sapienza University of Rome,For contributions to motion planning and control methods in complex robotic systems 
Alessandro Orso,2021,United States,Georgia Institute of Technology,For contributions to software testing and debugging 
Kenichi Osada,2016,Japan,"Hitachi, Ltd.",For contributions to reliable and low-power nanoscale SRAM 
